filename,ingredients
bowl_001.jpg,"White Rice, Ahi Tuna, Salmon, Sweet Corn, Edamame, Shredded Kale, Mandarin Oranges, Hijiki Seaweed, Cilantro, Surimi Salad, Seaweed Salad, Green Onion, Soft Tofu, Sesame Seeds, Garlic Crisps"
bowl_002.jpg, "White Rice, Spicy Tuna, Salmon, Cucumber, Sliced Onions, Hijiki Seaweed, Avocado, Surimi Salad, Seaweed Salad, Masago, Green Onion, Spicy Furakake, Sesame Seeds, Onion Crisps"
bowl_005.jpg, "Brown Rice, Lobster Surimi, Ahi Tuna, Salmon, Cucumber, Edamame, Avocado, Masago, Onion Crisps"
bowl_007.jpg, "White Rice, Lobster Surimi, Extra Spicy Tuna, Edamame, Mango, Mandarin Oranges, Hijiki Seaweed, Avocado, Surimi Salad, Pickled Ginger, Wonton Crisps, Garlic Crisps, Onion Crisps"
bowl_011.jpg, "Brown Rice, Lobster Surimi, Spicy Tuna, Sweet Corn, Cabbage, Edamame, Shredded Kale, Hijiki Seaweed, Avocado, Soft Tuna, Wasabi, Sesame Seeds"
bowl_012.jpg, "Salad Mix, Ahi Tuna, Cucumber, Cabbage, Edamame, Mango, Mandarin Oranges, Pineapple, Hijiki Seaweed, Cilantro, Serrano Peppers, Seaweeed Salad, Pickled Ginger, Soft Tofu, Wonton Crisps, Shredded Nori, Garlic Crisps, Onion Crisps"
bowl_018.jpg, "Salad Mix, Ahi Tuna, Salmon, Cucumber, Cabbage, Edamame, Shredded Kale, Hijiki Seaweed, Cilantro, Seaweed Salad, Pickled Ginger, Green Onions, Soft Tofu, Wonton Crisps, Shredded Nori, Garlic Crisps, Onion Crisps"
bowl_020.jpg, "White Rice, Ahi Tuna, Slice Onions, Edamame, Cilantro, Green Onion, Wonton Crisps, Garlic Crisps, Onion Crisps"
bowl_022.jpg, "Brown Rice, Salad Mix, Spicy Tuna, Ahi Tuna, Cucumber, Avocado, Green Onions, Garlic Crisps, Onion Crisps"
bowl_025.jpg, "White Rice, Salad Mix, Ahi Tuna, Cucumber, Cilantro, Avocado, Surimi Salad, Seaweed Salad, Green Onion"
bowl_048.jpg, "White Rice, Salmon, Spicy Salmon, Cucumber, Sweet Corn, Edamame, Shredded Kale, Hijiki Salad, Serrano Peppers, Surimi Salad, Seaweed Salad, Green Onion, Spicy Furikake, Sesame Seeds, Chili Crisp, Shredded Nori, Garlic Crisps, Onion Crisps"
bowl_051.jpg, "White Rice, Salmon, Cucumber, Edamame, Cilantro, Avocado, Seaweed Salad, Wonton Crisps, Garlic Crisps"
bowl_053.jpg, "Salad Mix, Lobster Surimi, Ahi Tuna, Salmon, Cucumber, Cabbage, Cilantro, Avocado, Seaweed Salad, Green Onion, Wonton Crisps, Garlic Crisps"
bowl_058.jpg, "White Rice, Chicken, Ahi Tuna, Salmon, Cucumber, Sweet Corn, Edamame, Surimi Salad, Garlic Crisps, Onion Crisps"
bowl_065.jpg, "White Rice, Spicy Tuna, Spicy Salmon, Sliced Onions, Sweet Corn, Pickled Ginger, Sesame Seeds, Shredded Nori, Onion Crisps"
